,Headlines,Date,level_0,index,Close,High,Low,Open,Volume
33,Facebook Unveils a Service to Announce Where Users Are ; New Facebook Location Feature Sparks Privacy Concerns ; Earnings Reports Help to Nudge Shares Higher ; Facebook Introduces a Location-Based Service ; Q. & A.: Facebook Is a Phonebook ; Delta Sells Tickets Through Facebook ; How to Use Facebook’s New Location Feature ; Facebook Unveils a Service to Announce Where Users Are ; New Facebook Location Feature Sparks Privacy Concerns ; Earnings Reports Help to Nudge Shares Higher ; Facebook Introduces a Location-Based Service ; Q. & A.: Facebook Is a Phonebook ; Delta Sells Tickets Through Facebook ; How to Use Facebook’s New Location Feature,2010-08-19,36,36,1.25266695022583,1.2833329439163208,1.222000002861023,1.2359999418258667,8686500
34,Marijuana Leaf Vanishes From Facebook ; Marijuana Leaf Vanishes From Facebook,2010-08-24,39,39,1.2799999713897705,1.3140000104904175,1.2633329629898071,1.2833329439163208,10096500
35,Investors Value Facebook at Up to $33.7 Billion ; Keep Facebook Places From Driving You Crazy ; Germany Plans Limits on Facebook Use in Hiring ; Tech Talk Podcast: The Facebook Movie ; Investors Value Facebook at Up to $33.7 Billion ; Keep Facebook Places From Driving You Crazy ; Germany Plans Limits on Facebook Use in Hiring ; Tech Talk Podcast: The Facebook Movie,2010-08-25,40,40,1.3266669511795044,1.3320000171661377,1.237333059310913,1.2773330211639404,7549500
36,Germany Plans Limits on Facebook Use in Hiring ; Facebook Throws the Book at Internet Startup ; Germany Plans Limits on Facebook Use in Hiring ; Facebook Throws the Book at Internet Startup,2010-08-26,41,41,1.3166669607162476,1.3513330221176147,1.3066669702529907,1.3259999752044678,6507000
37,"Updated ‘Metamorphoses,’ With Puppets, Is Named Best at Edinburgh’s Fringe ; Updated ‘Metamorphoses’ Wins Edinburgh Award ; Updated ‘Metamorphoses,’ With Puppets, Is Named Best at Edinburgh’s Fringe ; Updated ‘Metamorphoses’ Wins Edinburgh Award",2010-08-27,42,42,1.3133330345153809,1.324666976928711,1.2999999523162842,1.3166669607162476,5694000
38,A Book Attracts Loads of Facebook Fans. But Why? ; Domesticities| At Home on Facebook ; A Book Attracts Loads of Facebook Fans. But Why? ; Domesticities| At Home on Facebook,2010-08-30,43,43,1.324666976928711,1.3459999561309814,1.307332992553711,1.3133330345153809,10992000
39,3 Congressmen May Face Further Inquiry ; 3 Congressmen May Face Further Inquiry,2010-08-31,44,44,1.2986669540405273,1.3193329572677612,1.2886669635772705,1.3106670379638672,3016500
40,Burger King’s Post-I.P.O. Stock Price Isn’t Royal ; Burger King’s Post-I.P.O. Stock Price Isn’t Royal,2010-09-01,45,45,1.363332986831665,1.3793330192565918,1.3066669702529907,1.3079999685287476,7423500
41,Apple-Facebook Friction Erupts Over Ping ; Apple-Facebook Friction Erupts Over Ping,2010-09-02,46,46,1.4040000438690186,1.4160000085830688,1.3539999723434448,1.3580000400543213,7306500
42,"No, Facebook Places Is Not Tracking You ; No, Facebook Places Is Not Tracking You",2010-09-03,47,47,1.4033329486846924,1.4199999570846558,1.3773330450057983,1.391332983970642,6519000
